Henry Chunger,505-5050,kirby@gmail.com,Member,kirby.jpg
Luigi Garcia,545-5050,li@gmail.com,Member,luigi.jpg
Mario Mariano,546-3125,mario@gmail.com,Member,mario.jpeg
Kira Kiri,486-5874,kiwi@gmail.com,Secatary,kiwi.jpeg
Evil Gunner,986-7854,gun@gmail.com,Member,gun.jpeg
Browser Wowser,505-6356,browser@gmail.com,Member,browser.jpg
Star Fox,452-5762,hwre@gmail.com,Treasurer,starfox.jpeg
Link Zelda,505-4587,khilh@gmail.com,VicePresident,link.jpeg
Black Cat,785-5462,hk@gmail.com,President,blackcat.jpg
Henry Chunger,505-5050,kirby@gmail.com,Member,kirby.jpg
Luigi Garcia,545-5050,li@gmail.com,Member,luigi.jpg
Mario Mariano,546-3125,mario@gmail.com,Member,mario.jpeg
Kira Kiri,486-5874,kiwi@gmail.com,Secatary,kiwi.jpeg
Evil Gunner,986-7854,gun@gmail.com,Member,gun.jpeg
Browser Wowser,505-6356,browser@gmail.com,Member,browser.jpg
